0.95387536e-3 SEC2 4
5.292707315355146e+00 6.952852791069857e-01 4.501763837719404e+00 6.817930001542546e-01
5.292715114003610e+00 6.952853129906170e-01 4.501754032853877e+00 6.817930897743570e-01
5.292722912631869e+00 6.952853468732679e-01 4.501744228011458e+00 6.817931793915467e-01
5.292730711239945e+00 6.952853807549381e-01 4.501734423192122e+00 6.817932690058235e-01
5.292738509827757e+00 6.952854146356284e-01 4.501724618395941e+00 6.817933586171896e-01
5.292746308395388e+00 6.952854485153378e-01 4.501714813622852e+00 6.817934482256418e-01
5.292754106942849e+00 6.952854823940672e-01 4.501705008872825e+00 6.817935378311824e-01
5.292761905470030e+00 6.952855162718160e-01 4.501695204145983e+00 6.817936274338109e-01
5.292769703977058e+00 6.952855501485845e-01 4.501685399442192e+00 6.817937170335268e-01
5.292777502463841e+00 6.952855840243727e-01 4.501675594761547e+00 6.817938066303308e-01
5.292785300930457e+00 6.952856178991805e-01 4.501665790103963e+00 6.817938962242229e-01
5.292793099376889e+00 6.952856517730079e-01 4.501655985469468e+00 6.817939858152021e-01
5.292800897803026e+00 6.952856856458546e-01 4.501646180858190e+00 6.817940754032682e-01
5.292808696209041e+00 6.952857195177216e-01 4.501636376269905e+00 6.817941649884242e-01
5.292816494594812e+00 6.952857533886079e-01 4.501626571704778e+00 6.817942545706672e-01
5.292824292960367e+00 6.952857872585140e-01 4.501616767162774e+00 6.817943441499980e-01
5.292832091305723e+00 6.952858211274393e-01 4.501606962643876e+00 6.817944337264157e-01
5.292839889630870e+00 6.952858549953846e-01 4.501597158148076e+00 6.817945232999227e-01
5.292847687935814e+00 6.952858888623495e-01 4.501587353675399e+00 6.817946128705163e-01
5.292855486220560e+00 6.952859227283342e-01 4.501577549225812e+00 6.817947024381988e-01
5.292863284485104e+00 6.952859565933385e-01 4.501567744799332e+00 6.817947920029688e-01
5.292871082729349e+00 6.952859904573626e-01 4.501557940396061e+00 6.817948815648276e-01
5.292878880953459e+00 6.952860243204060e-01 4.501548136015838e+00 6.817949711237724e-01
5.292886679157363e+00 6.952860581824695e-01 4.501538331658709e+00 6.817950606798069e-01
5.292894477341072e+00 6.952860920435526e-01 4.501528527324684e+00 6.817951502329289e-01
5.292902275504519e+00 6.952861259036552e-01 4.501518723013835e+00 6.817952397831386e-01
5.292910073647777e+00 6.952861597627777e-01 4.501508918726079e+00 6.817953293304366e-01
5.292917871770783e+00 6.952861936209199e-01 4.501499114461485e+00 6.817954188748226e-01
5.292925669873652e+00 6.952862274780817e-01 4.501489310219926e+00 6.817955084162963e-01
5.292933467956285e+00 6.952862613342634e-01 4.501479506001512e+00 6.817955979548587e-01
5.292941266018685e+00 6.952862951894647e-01 4.501469701806244e+00 6.817956874905087e-01
5.292949064060900e+00 6.952863290436857e-01 4.501459897634065e+00 6.817957770232467e-01
5.292956862082873e+00 6.952863628969267e-01 4.501450093485036e+00 6.817958665530733e-01
5.292964660084661e+00 6.952863967491867e-01 4.501440289359111e+00 6.817959560799866e-01
5.292972458066211e+00 6.952864306004670e-01 4.501430485256324e+00 6.817960456039891e-01
5.292980256027564e+00 6.952864644507670e-01 4.501420681176643e+00 6.817961351250799e-01
