0.95387536e-3 2
-2.040000e+00 3.292952940472675e+00 0.000000000000000e+00
-2.030000e+00 3.136659178465805e+00 0.000000000000000e+00
-2.020000e+00 3.017928130028642e+00 0.000000000000000e+00
-2.010000e+00 2.918472172825532e+00 0.000000000000000e+00
-2.000000e+00 2.831315423650646e+00 0.000000000000000e+00
-1.990000e+00 2.752902628333911e+00 0.000000000000000e+00
-1.980000e+00 2.681128542665924e+00 0.000000000000000e+00
-1.970000e+00 2.614623830132399e+00 0.000000000000000e+00
-1.960000e+00 2.552438165196014e+00 0.000000000000000e+00
-1.950000e+00 2.493879837608486e+00 0.000000000000000e+00
-1.940000e+00 2.438426622467263e+00 0.000000000000000e+00
-1.930000e+00 2.385672652654069e+00 0.000000000000000e+00
-1.920000e+00 2.335294967131819e+00 0.000000000000000e+00
-1.910000e+00 2.287031498679581e+00 0.000000000000000e+00
-1.900000e+00 2.240666053867490e+00 0.000000000000000e+00
-1.890000e+00 2.196017747610540e+00 0.000000000000000e+00
-1.880000e+00 2.152933376224007e+00 0.000000000000000e+00
-1.870000e+00 2.111281787391690e+00 0.000000000000000e+00
-1.860000e+00 2.070949642478731e+00 0.000000000000000e+00
-1.850000e+00 2.031838171652660e+00 0.000000000000000e+00
-1.840000e+00 1.993860651014767e+00 0.000000000000000e+00
-1.830000e+00 1.956940414050981e+00 0.000000000000000e+00
-1.820000e+00 1.921009264692787e+00 0.000000000000000e+00
-1.810000e+00 1.886006196455109e+00 0.000000000000000e+00
-1.800000e+00 1.851876347750499e+00 0.000000000000000e+00
-1.790000e+00 1.818570141463733e+00 0.000000000000000e+00
-1.780000e+00 1.786042569688541e+00 0.000000000000000e+00
-1.770000e+00 1.754252593791792e+00 0.000000000000000e+00
-1.760000e+00 1.723162636746955e+00 0.000000000000000e+00
-1.750000e+00 1.692738149688245e+00 0.000000000000000e+00
-1.740000e+00 1.662947238370012e+00 0.000000000000000e+00
-1.730000e+00 1.633760338013499e+00 0.000000000000000e+00
-1.720000e+00 1.605149927123433e+00 0.000000000000000e+00
-1.710000e+00 1.577090272428884e+00 0.000000000000000e+00
-1.700000e+00 1.549557198268269e+00 0.000000000000000e+00
-1.690000e+00 1.522527874587279e+00 0.000000000000000e+00
-1.680000e+00 1.495980618323116e+00 0.000000000000000e+00
-1.670000e+00 1.469894703376188e+00 0.000000000000000e+00
-1.660000e+00 1.444250174702714e+00 0.000000000000000e+00
-1.650000e+00 1.419027662424257e+00 0.000000000000000e+00
-1.640000e+00 1.394208192468687e+00 0.000000000000000e+00
-1.630000e+00 1.369772991566328e+00 0.000000000000000e+00
-1.620000e+00 1.345703287285910e+00 0.000000000000000e+00
-1.610000e+00 1.321980109936415e+00 0.000000000000000e+00
-1.600000e+00 1.298584116092568e+00 0.000000000000000e+00
-1.590000e+00 1.275495480416264e+00 0.000000000000000e+00
-1.580000e+00 1.252693958201422e+00 0.000000000000000e+00
-1.570000e+00 1.230159336419992e+00 0.000000000000000e+00
