0.95387536e-3 SEC2 3
1.000000e-01 -1.729927668881070e+00 1.044908347682217e+00 6.911944600076845e-01
1.050000e-01 -1.729570438563272e+00 1.045031769228213e+00 6.908316870465558e-01
1.100000e-01 -1.729195583432465e+00 1.045139225347232e+00 6.904512786597811e-01
1.150000e-01 -1.728803074711976e+00 1.045233504064712e+00 6.900531941389765e-01
1.200000e-01 -1.728392882202729e+00 1.045316757679654e+00 6.896373935750709e-01
1.250000e-01 -1.727964974271430e+00 1.045390677971479e+00 6.892038372541330e-01
1.300000e-01 -1.727519317838143e+00 1.045456615613719e+00 6.887524852313521e-01
1.350000e-01 -1.727055878363249e+00 1.045515663690949e+00 6.882832970223031e-01
1.400000e-01 -1.726574619833765e+00 1.045568717440987e+00 6.877962313733242e-01
1.450000e-01 -1.726075504749028e+00 1.045616517845820e+00 6.872912460864236e-01
1.500000e-01 -1.725558494105710e+00 1.045659684002061e+00 6.867682978826996e-01
1.550000e-01 -1.725023547382168e+00 1.045698737539039e+00 6.862273422931603e-01
1.600000e-01 -1.724470622522098e+00 1.045734121299750e+00 6.856683335695596e-01
1.650000e-01 -1.723899675917493e+00 1.045766213815452e+00 6.850912246098108e-01
1.700000e-01 -1.723310662390872e+00 1.045795340651452e+00 6.844959668943251e-01
1.750000e-01 -1.722703535176777e+00 1.045821783394213e+00 6.838825104303586e-01
1.800000e-01 -1.722078245902513e+00 1.045845786838931e+00 6.832508037023269e-01
1.850000e-01 -1.721434744568106e+00 1.045867564789335e+00 6.826007936268924e-01
1.900000e-01 -1.720772979525474e+00 1.045887304775234e+00 6.819324255111032e-01
1.950000e-01 -1.720092897456779e+00 1.045905171919255e+00 6.812456430131900e-01
2.000000e-01 -1.719394443351933e+00 1.045921312128205e+00 6.805403881051462e-01
2.050000e-01 -1.718677560485254e+00 1.045935854743963e+00 6.798166010364532e-01
2.100000e-01 -1.717942190391227e+00 1.045948914759099e+00 6.790742202987747e-01
2.150000e-01 -1.717188272839356e+00 1.045960594678660e+00 6.783131825909658e-01
2.200000e-01 -1.716415745808082e+00 1.045970986093376e+00 6.775334227844416e-01
2.250000e-01 -1.715624545457730e+00 1.045980171015214e+00 6.767348738883935e-01
2.300000e-01 -1.714814606102465e+00 1.045988223016523e+00 6.759174670148200e-01
2.350000e-01 -1.713985860181224e+00 1.045995208205992e+00 6.750811313431742e-01
2.400000e-01 -1.713138238227587e+00 1.046001186068153e+00 6.742257940845302e-01
2.450000e-01 -1.712271668838560e+00 1.046006210188140e+00 6.733513804449818e-01
2.500000e-01 -1.711386078642242e+00 1.046010328880016e+00 6.724578135884476e-01
2.550000e-01 -1.710481392264313e+00 1.046013585732961e+00 6.715450145985088e-01
2.600000e-01 -1.709557532293341e+00 1.046016020087941e+00 6.706129024393722e-01
2.650000e-01 -1.708614419244841e+00 1.046017667454755e+00 6.696613939158180e-01
2.700000e-01 -1.707651971524051e+00 1.046018559878108e+00 6.686904036320405e-01
2.750000e-01 -1.706670105387395e+00 1.046018726259778e+00 6.676998439493831e-01
2.800000e-01 -1.705668734902561e+00 1.046018192642933e+00 6.666896249428068e-01
2.850000e-01 -1.704647771907173e+00 1.046016982463605e+00 6.656596543561216e-01
2.900000e-01 -1.703607125965988e+00 1.046015116773687e+00 6.646098375558374e-01
2.950000e-01 -1.702546704326579e+00 1.046012614439138e+00 6.635400774836275e-01
3.000000e-01 -1.701466411873432e+00 1.046009492316549e+00 6.624502746073356e-01
3.050000e-01 -1.700366151080420e+00 1.046005765410701e+00 6.613403268704431e-01
3.100000e-01 -1.699245821961579e+00 1.046001447015554e+00 6.602101296399630e-01
3.150000e-01 -1.698105322020122e+00 1.045996548840548e+00 6.590595756526658e-01
3.200000e-01 -1.696944546195639e+00 1.045991081124077e+00 6.578885549596161e-01
3.250000e-01 -1.695763386809396e+00 1.045985052735617e+00 6.566969548689513e-01
3.300000e-01 -1.694561733507668e+00 1.045978471267700e+00 6.554846598867659e-01
3.350000e-01 -1.693339473203033e+00 1.045971343119140e+00 6.542515516561425e-01
3.400000e-01 -1.692096490013538e+00 1.045963673570316e+00 6.529975088942021e-01
3.450000e-01 -1.690832665199657e+00 1.045955466851474e+00 6.517224073270876e-01
3.500000e-01 -1.689547877098953e+00 1.045946726204913e+00 6.504261196228677e-01
3.550000e-01 -1.688242001058347e+00 1.045937453941632e+00 6.491085153222341e-01
3.600000e-01 -1.686914909363902e+00 1.045927651493120e+00 6.477694607668892e-01
3.650000e-01 -1.685566471168006e+00 1.045917319458928e+00 6.464088190256750e-01
3.700000e-01 -1.684196552413869e+00 1.045906457650411e+00 6.450264498182136e-01
3.750000e-01 -1.682805015757189e+00 1.045895065131089e+00 6.436222094360042e-01
3.800000e-01 -1.681391720484895e+00 1.045883140254185e+00 6.421959506609849e-01
3.850000e-01 -1.679956522430822e+00 1.045870680697573e+00 6.407475226813428e-01
3.900000e-01 -1.678499273888193e+00 1.045857683496517e+00 6.392767710045318e-01
3.950000e-01 -1.677019823518771e+00 1.045844145074513e+00 6.377835373673816e-01
4.000000e-01 -1.675518016258517e+00 1.045830061272623e+00 6.362676596432155e-01
4.050000e-01 -1.673993693219622e+00 1.045815427377425e+00 6.347289717458449e-01
4.100000e-01 -1.672446691588725e+00 1.045800238147875e+00 6.331673035302698e-01
4.150000e-01 -1.670876844521162e+00 1.045784487841496e+00 6.315824806901085e-01
4.200000e-01 -1.669283981031051e+00 1.045768170239758e+00 6.299743246513951e-01
4.250000e-01 -1.667667925877023e+00 1.045751278673344e+00 6.283426524629075e-01
4.300000e-01 -1.666028499443395e+00 1.045733806047053e+00 6.266872766825246e-01
4.350000e-01 -1.664365517616572e+00 1.045715744864854e+00 6.250080052598099e-01
4.400000e-01 -1.662678791656443e+00 1.045697087255141e+00 6.233046414143625e-01
4.450000e-01 -1.660968128062529e+00 1.045677824996414e+00 6.215769835099447e-01
4.500000e-01 -1.659233328434638e+00 1.045657949543676e+00 6.198248249241725e-01
4.550000e-01 -1.657474189327741e+00 1.045637452055410e+00 6.180479539134114e-01
4.600000e-01 -1.655690502100792e+00 1.045616323421707e+00 6.162461534728899e-01
4.650000e-01 -1.653882052759180e+00 1.045594554293520e+00 6.144192011916931e-01
4.700000e-01 -1.652048621790499e+00 1.045572135113131e+00 6.125668691022973e-01
4.750000e-01 -1.650189983993283e+00 1.045549056146194e+00 6.106889235245458e-01
4.800000e-01 -1.648305908298346e+00 1.045525307515276e+00 6.087851249036459e-01
4.850000e-01 -1.646396157582344e+00 1.045500879235407e+00 6.068552276419824e-01
4.900000e-01 -1.644460488473142e+00 1.045475761251217e+00 6.048989799242167e-01
4.950000e-01 -1.642498651146548e+00 1.045449943476474e+00 6.029161235355815e-01
5.000000e-01 -1.640510389113953e+00 1.045423415835613e+00 6.009063936727319e-01
5.050000e-01 -1.638495439000381e+00 1.045396168307513e+00 5.988695187467348e-01
5.100000e-01 -1.636453530312410e+00 1.045368190971916e+00 5.968052201779344e-01
5.150000e-01 -1.634384385195420e+00 1.045339474058066e+00 5.947132121818636e-01
5.200000e-01 -1.632287718179542e+00 1.045310007995976e+00 5.925932015458334e-01
5.250000e-01 -1.630163235913694e+00 1.045279783470369e+00 5.904448873955062e-01
5.300000e-01 -1.628010636886992e+00 1.045248791477122e+00 5.882679609507953e-01
5.350000e-01 -1.625829611136818e+00 1.045217023382317e+00 5.860621052702851e-01
5.400000e-01 -1.623619839942762e+00 1.045184470983875e+00 5.838269949833899e-01
5.450000e-01 -1.621380995505589e+00 1.045151126575556e+00 5.815622960093528e-01
5.500000e-01 -1.619112740610333e+00 1.045116983013457e+00 5.792676652620362e-01
5.550000e-01 -1.616814728272566e+00 1.045082033784438e+00 5.769427503395282e-01
5.600000e-01 -1.614486601366788e+00 1.045046273076769e+00 5.745871891972537e-01
5.650000e-01 -1.612127992235847e+00 1.045009695852203e+00 5.722006098033577e-01
5.700000e-01 -1.609738522280170e+00 1.044972297919546e+00 5.697826297749542e-01
5.750000e-01 -1.607317801525554e+00 1.044934076009042e+00 5.673328559936354e-01
5.800000e-01 -1.604865428168096e+00 1.044895027847338e+00 5.648508841985852e-01
5.850000e-01 -1.602380988094812e+00 1.044855152232290e+00 5.623362985554193e-01
5.900000e-01 -1.599864054378304e+00 1.044814449107123e+00 5.597886711987520e-01
5.950000e-01 -1.597314186743769e+00 1.044772919633205e+00 5.572075617462945e-01
6.000000e-01 -1.594730931006459e+00 1.044730566260681e+00 5.545925167820667e-01
6.050000e-01 -1.592113818477585e+00 1.044687392796100e+00 5.519430693061924e-01
6.100000e-01 -1.589462365336456e+00 1.044643404466204e+00 5.492587381484353e-01
6.150000e-01 -1.586776071966499e+00 1.044598607976639e+00 5.465390273423747e-01
6.200000e-01 -1.584054422252571e+00 1.044553011564853e+00 5.437834254570696e-01
6.250000e-01 -1.581296882836786e+00 1.044506625045778e+00 5.409914048825346e-01
6.300000e-01 -1.578502902329804e+00 1.044459459849222e+00 5.381624210652665e-01
6.350000e-01 -1.575671910474294e+00 1.044411529047720e+00 5.352959116896505e-01
6.400000e-01 -1.572803317256977e+00 1.044362847373522e+00 5.323912958007891e-01
6.450000e-01 -1.569896511965314e+00 1.044313431223570e+00 5.294479728641140e-01
6.500000e-01 -1.566950862184579e+00 1.044263298650949e+00 5.264653217563512e-01
6.550000e-01 -1.563965712730628e+00 1.044212469341823e+00 5.234426996826435e-01
6.600000e-01 -1.560940384513251e+00 1.044160964576252e+00 5.203794410135495e-01
6.650000e-01 -1.557874173324504e+00 1.044108807172141e+00 5.172748560358479e-01
6.700000e-01 -1.554766348545869e+00 1.044056021410843e+00 5.141282296099432e-01
6.750000e-01 -1.551616151767481e+00 1.044002632943646e+00 5.109388197266835e-01
6.800000e-01 -1.548422795312004e+00 1.043948668678262e+00 5.077058559554675e-01
6.850000e-01 -1.545185460654947e+00 1.043894156644521e+00 5.044285377749504e-01
