0.95387536e-3 6
-2.040000e+00 -3.986801314152453e+00 2.150144828787259e-02
-2.039000e+00 -4.003837200649779e+00 2.237393182842514e-02
-2.038000e+00 -4.020114580751847e+00 2.318921291601642e-02
-2.037000e+00 -4.035728576131092e+00 2.395484408316292e-02
-2.036000e+00 -4.050755817322622e+00 2.467688879711749e-02
-2.035000e+00 -4.065259123027761e+00 2.536030062339821e-02
-2.034000e+00 -4.079290758071185e+00 2.600918681890153e-02
-2.033000e+00 -4.092894764685993e+00 2.662699666559341e-02
-2.032000e+00 -4.106108670338087e+00 2.721665922950642e-02
-2.031000e+00 -4.118964764574355e+00 2.778068620034120e-02
-2.030000e+00 -4.131491070847331e+00 2.832125004586098e-02
-2.029000e+00 -4.143712097940859e+00 2.884024435060106e-02
-2.028000e+00 -4.155649429195908e+00 2.933933105868796e-02
-2.027000e+00 -4.167322190395961e+00 2.981997793126784e-02
-2.026000e+00 -4.178747425535867e+00 3.028348858395534e-02
-2.025000e+00 -4.189940401724622e+00 3.073102682274842e-02
-2.024000e+00 -4.200914858910278e+00 3.116363654579623e-02
-2.023000e+00 -4.211683216166629e+00 3.158225815858003e-02
-2.022000e+00 -4.222256743441307e+00 3.198774221994986e-02
-2.021000e+00 -4.232645705581296e+00 3.238086086830504e-02
-2.020000e+00 -4.242859483921635e+00 3.276231745313084e-02
-2.019000e+00 -4.252906679568679e+00 3.313275470411837e-02
-2.018000e+00 -4.262795201639536e+00 3.349276169985371e-02
-2.017000e+00 -4.272532343054120e+00 3.384287984441201e-02
-2.016000e+00 -4.282124845961842e+00 3.418360801879564e-02
-2.015000e+00 -4.291578958486370e+00 3.451540704200688e-02
-2.014000e+00 -4.300900484156576e+00 3.483870355127311e-02
-2.013000e+00 -4.310094825145381e+00 3.515389339104217e-02
-2.012000e+00 -4.319167020238922e+00 3.546134458446514e-02
-2.011000e+00 -4.328121778301721e+00 3.576139994839955e-02
-2.010000e+00 -4.336963507873933e+00 3.605437940268560e-02
-2.009000e+00 -4.345696343434398e+00 3.634058201615629e-02
-2.008000e+00 -4.354324168777326e+00 3.662028782504249e-02
-2.007000e+00 -4.362850637881939e+00 3.689375945388138e-02
-2.006000e+00 -4.371279193595785e+00 3.716124356443452e-02
-2.005000e+00 -4.379613084406111e+00 3.742297215434122e-02
-2.004000e+00 -4.387855379532776e+00 3.767916372405430e-02
-2.003000e+00 -4.396008982544310e+00 3.793002432797127e-02
-2.002000e+00 -4.404076643669752e+00 3.817574852345375e-02
-2.001000e+00 -4.412060970956096e+00 3.841652022955561e-02
-2.000000e+00 -4.419964440401063e+00 3.865251350570437e-02
-1.999000e+00 -4.427789405173974e+00 3.888389325923315e-02
-1.998000e+00 -4.435538104023365e+00 3.911081588952037e-02
-1.997000e+00 -4.443212668956977e+00 3.933342987551394e-02
-1.996000e+00 -4.450815132270380e+00 3.955187631257810e-02
-1.995000e+00 -4.458347432989953e+00 3.976628940388792e-02
-1.994000e+00 -4.465811422789194e+00 3.997679691096059e-02
-1.993000e+00 -4.473208871430018e+00 4.018352056738531e-02
-1.992000e+00 -4.480541471774859e+00 4.038657645934545e-02
-1.991000e+00 -4.487810844410426e+00 4.058607537611562e-02
-1.990000e+00 -4.495018541919048e+00 4.078212313336663e-02
-1.989000e+00 -4.502166052830180e+00 4.097482087179875e-02
-1.988000e+00 -4.509254805280877e+00 4.116426533336028e-02
-1.987000e+00 -4.516286170410832e+00 4.135054911705455e-02
-1.986000e+00 -4.523261465515390e+00 4.153376091614681e-02
-1.985000e+00 -4.530181956977265e+00 4.171398573838585e-02
-1.984000e+00 -4.537048862995631e+00 4.189130511069759e-02
-1.983000e+00 -4.543863356129417e+00 4.206579726965751e-02
-1.982000e+00 -4.550626565670278e+00 4.223753733892770e-02
-1.981000e+00 -4.557339579858674e+00 4.240659749472507e-02
-1.980000e+00 -4.564003447955947e+00 4.257304712028798e-02
-1.979000e+00 -4.570619182183295e+00 4.273695295021442e-02
-1.978000e+00 -4.577187759538276e+00 4.289837920547197e-02
-1.977000e+00 -4.583710123497971e+00 4.305738771979607e-02
-1.976000e+00 -4.590187185617496e+00 4.321403805813796e-02
-1.975000e+00 -4.596619827031531e+00 4.336838762776081e-02
-1.974000e+00 -4.603008899865968e+00 4.352049178252890e-02
-1.973000e+00 -4.609355228566272e+00 4.367040392089160e-02
-1.972000e+00 -4.615659611148375e+00 4.381817557801714e-02
-1.971000e+00 -4.621922820377609e+00 4.396385651249706e-02
-1.970000e+00 -4.628145604880797e+00 4.410749478800145e-02
-1.969000e+00 -4.634328690195835e+00 4.424913685024013e-02
-1.968000e+00 -4.640472779763220e+00 4.438882759955114e-02
-1.967000e+00 -4.646578555863362e+00 4.452661045941643e-02
-1.966000e+00 -4.652646680503203e+00 4.466252744117616e-02
-1.965000e+00 -4.658677796255513e+00 4.479661920519734e-02
-1.964000e+00 -4.664672527053977e+00 4.492892511872652e-02
-1.963000e+00 -4.670631478946593e+00 4.505948331064379e-02
-1.962000e+00 -4.676555240810647e+00 4.518833072331779e-02
-1.961000e+00 -4.682444385030839e+00 4.531550316174343e-02
-1.960000e+00 -4.688299468143472e+00 4.544103534013590e-02
-1.959000e+00 -4.694121031448597e+00 4.556496092613517e-02
-1.958000e+00 -4.699909601591839e+00 4.568731258277222e-02
-1.957000e+00 -4.705665691117982e+00 4.580812200832959e-02
-1.956000e+00 -4.711389798997869e+00 4.592741997422416e-02
-1.955000e+00 -4.717082411130215e+00 4.604523636102955e-02
-1.954000e+00 -4.722744000819563e+00 4.616160019274818e-02
-1.953000e+00 -4.728375029232208e+00 4.627653966943471e-02
-1.952000e+00 -4.733975945830849e+00 4.639008219826682e-02
-1.951000e+00 -4.739547188789452e+00 4.650225442314694e-02
-1.950000e+00 -4.745089185389338e+00 4.661308225293010e-02
-1.949000e+00 -4.750602352397462e+00 4.672259088833703e-02
-1.948000e+00 -4.756087096428065e+00 4.683080484764399e-02
-1.947000e+00 -4.761543814288213e+00 4.693774799120199e-02
-1.946000e+00 -4.766972893308558e+00 4.704344354485810e-02
-1.945000e+00 -4.772374711659682e+00 4.714791412233224e-02
-1.944000e+00 -4.777749638654947e+00 4.725118174660957e-02
-1.943000e+00 -4.783098035040728e+00 4.735326787039712e-02
-1.942000e+00 -4.788420253274246e+00 4.745419339569720e-02
-1.941000e+00 -4.793716637790109e+00 4.755397869253775e-02
-1.940000e+00 -4.798987525255725e+00 4.765264361691179e-02
-1.939000e+00 -4.804233244816434e+00 4.775020752795541e-02
-1.938000e+00 -4.809454118330738e+00 4.784668930441244e-02
-1.937000e+00 -4.814650460596017e+00 4.794210736041684e-02
-1.936000e+00 -4.819822579565498e+00 4.803647966062631e-02
-1.935000e+00 -4.824970776556515e+00 4.812982373474042e-02
-1.934000e+00 -4.830095346450772e+00 4.822215669143436e-02
-1.933000e+00 -4.835196577886842e+00 4.831349523173323e-02
-1.932000e+00 -4.840274753445320e+00 4.840385566185702e-02
-1.931000e+00 -4.845330149826905e+00 4.849325390556029e-02
-1.930000e+00 -4.850363038023835e+00 4.858170551598956e-02
-1.929000e+00 -4.855373683484983e+00 4.866922568708137e-02
-1.928000e+00 -4.860362346274617e+00 4.875582926452522e-02
-1.927000e+00 -4.865329281225637e+00 4.884153075630408e-02
-1.926000e+00 -4.870274738087035e+00 4.892634434284208e-02
-1.925000e+00 -4.875198961666139e+00 4.901028388676704e-02
-1.924000e+00 -4.880102191965622e+00 4.909336294231370e-02
-1.923000e+00 -4.884984664315835e+00 4.917559476437563e-02
-1.922000e+00 -4.889846609502361e+00 4.925699231722964e-02
-1.921000e+00 -4.894688253889116e+00 4.933756828293975e-02
-1.920000e+00 -4.899509819537225e+00 4.941733506945901e-02
-1.919000e+00 -4.904311524319759e+00 4.949630481844293e-02
-1.918000e+00 -4.909093582032578e+00 4.957448941278168e-02
-1.917000e+00 -4.913856202501464e+00 4.965190048386868e-02
-1.916000e+00 -4.918599591685525e+00 4.972854941861465e-02
-1.915000e+00 -4.923323951777263e+00 4.980444736621641e-02
-1.914000e+00 -4.928029481299316e+00 4.987960524469309e-02
-1.913000e+00 -4.932716375197954e+00 4.995403374719772e-02
-1.912000e+00 -4.937384824933545e+00 5.002774334811390e-02
-1.911000e+00 -4.942035018568176e+00 5.010074430894592e-02
-1.910000e+00 -4.946667140850285e+00 5.017304668401305e-02
-1.909000e+00 -4.951281373296757e+00 5.024466032595160e-02
-1.908000e+00 -4.955877894272337e+00 5.031559489103575e-02
-1.907000e+00 -4.960456879066506e+00 5.038585984432443e-02
-1.906000e+00 -4.965018499968046e+00 5.045546446463810e-02
-1.905000e+00 -4.969562926337251e+00 5.052441784937575e-02
-1.904000e+00 -4.974090324675822e+00 5.059272891917602e-02
-1.903000e+00 -4.978600858694806e+00 5.066040642242867e-02
-1.902000e+00 -4.983094689380257e+00 5.072745893964396e-02
-1.901000e+00 -4.987571975057130e+00 5.079389488768161e-02
-1.900000e+00 -4.992032871451067e+00 5.085972252384967e-02
-1.899000e+00 -4.996477531748443e+00 5.092494994987399e-02
-1.898000e+00 -5.000906106654617e+00 5.098958511574466e-02
-1.897000e+00 -5.005318744450476e+00 5.105363582344457e-02
-1.896000e+00 -5.009715591047306e+00 5.111710973056413e-02
-1.895000e+00 -5.014096790040072e+00 5.118001435380468e-02
-1.894000e+00 -5.018462482759201e+00 5.124235707237772e-02
-1.893000e+00 -5.022812808320810e+00 5.130414513130068e-02
-1.892000e+00 -5.027147903675581e+00 5.136538564459631e-02
-1.891000e+00 -5.031467903656170e+00 5.142608559839334e-02
-1.890000e+00 -5.035772941023417e+00 5.148625185394110e-02
-1.889000e+00 -5.040063146511079e+00 5.154589115053027e-02
-1.888000e+00 -5.044338648869489e+00 5.160501010833284e-02
-1.887000e+00 -5.048599574907894e+00 5.166361523115791e-02
-1.886000e+00 -5.052846049535736e+00 5.172171290912732e-02
-1.885000e+00 -5.057078195802701e+00 5.177930942127699e-02
-1.884000e+00 -5.061296134937767e+00 5.183641093808264e-02
-1.883000e+00 -5.065499986387149e+00 5.189302352391424e-02
-1.882000e+00 -5.069689867851282e+00 5.194915313942128e-02
-1.881000e+00 -5.073865895320730e+00 5.200480564385337e-02
-1.880000e+00 -5.078028183111239e+00 5.205998679731272e-02
-1.879000e+00 -5.082176843897877e+00 5.211470226294696e-02
-1.878000e+00 -5.086311988748129e+00 5.216895760908157e-02
-1.877000e+00 -5.090433727154335e+00 5.222275831129294e-02
-1.876000e+00 -5.094542167065151e+00 5.227610975442571e-02
-1.875000e+00 -5.098637414916266e+00 5.232901723455530e-02
-1.874000e+00 -5.102719575660318e+00 5.238148596089783e-02
-1.873000e+00 -5.106788752796011e+00 5.243352105766948e-02
-1.872000e+00 -5.110845048396588e+00 5.248512756589545e-02
-1.871000e+00 -5.114888563137520e+00 5.253631044517132e-02
-1.870000e+00 -5.118919396323486e+00 5.258707457537844e-02
-1.869000e+00 -5.122937645914782e+00 5.263742475835475e-02
-1.868000e+00 -5.126943408552942e+00 5.268736571952116e-02
-1.867000e+00 -5.130936779585863e+00 5.273690210946577e-02
-1.866000e+00 -5.134917853092240e+00 5.278603850548905e-02
-1.865000e+00 -5.138886721905407e+00 5.283477941310669e-02
-1.864000e+00 -5.142843477636645e+00 5.288312926751685e-02
-1.863000e+00 -5.146788210697865e+00 5.293109243502829e-02
-1.862000e+00 -5.150721010323860e+00 5.297867321445354e-02
-1.861000e+00 -5.154641964593875e+00 5.302587583846620e-02
-1.860000e+00 -5.158551160452854e+00 5.307270447492514e-02
-1.859000e+00 -5.162448683731979e+00 5.311916322816588e-02
-1.858000e+00 -5.166334619168881e+00 5.316525614025871e-02
-1.857000e+00 -5.170209050427371e+00 5.321098719223829e-02
-1.856000e+00 -5.174072060116620e+00 5.325636030529977e-02
-1.855000e+00 -5.177923729809989e+00 5.330137934196945e-02
-1.854000e+00 -5.181764140063394e+00 5.334604810724448e-02
-1.853000e+00 -5.185593370433248e+00 5.339037034970565e-02
-1.852000e+00 -5.189411499494001e+00 5.343434976260461e-02
-1.851000e+00 -5.193218604855305e+00 5.347798998492340e-02
-1.850000e+00 -5.197014763178741e+00 5.352129460240956e-02
-1.849000e+00 -5.200800050194252e+00 5.356426714858803e-02
-1.848000e+00 -5.204574540716148e+00 5.360691110574597e-02
-1.847000e+00 -5.208338308658766e+00 5.364922990589877e-02
-1.846000e+00 -5.212091427051792e+00 5.369122693172968e-02
-1.845000e+00 -5.215833968055285e+00 5.373290551751000e-02
-1.844000e+00 -5.219566002974361e+00 5.377426894999646e-02
-1.843000e+00 -5.223287602273427e+00 5.381532046931009e-02
-1.842000e+00 -5.226998835590352e+00 5.385606326979242e-02
-1.841000e+00 -5.230699771750145e+00 5.389650050084405e-02
-1.840000e+00 -5.234390478778413e+00 5.393663526774229e-02
-1.839000e+00 -5.238071023914489e+00 5.397647063244408e-02
-1.838000e+00 -5.241741473624374e+00 5.401600961436547e-02
-1.837000e+00 -5.245401893613289e+00 5.405525519114833e-02
-1.836000e+00 -5.249052348838062e+00 5.409421029940770e-02
-1.835000e+00 -5.252692903519199e+00 5.413287783546259e-02
-1.834000e+00 -5.256323621152734e+00 5.417126065605216e-02
-1.833000e+00 -5.259944564521802e+00 5.420936157903360e-02
-1.832000e+00 -5.263555795708061e+00 5.424718338406730e-02
-1.831000e+00 -5.267157376102722e+00 5.428472881328571e-02
-1.830000e+00 -5.270749366417499e+00 5.432200057194833e-02
-1.829000e+00 -5.274331826695344e+00 5.435900132908093e-02
-1.828000e+00 -5.277904816320792e+00 5.439573371810306e-02
-1.827000e+00 -5.281468394030298e+00 5.443220033744259e-02
-1.826000e+00 -5.285022617922276e+00 5.446840375113345e-02
-1.825000e+00 -5.288567545466929e+00 5.450434648940458e-02
-1.824000e+00 -5.292103233515934e+00 5.454003104925460e-02
-1.823000e+00 -5.295629738311840e+00 5.457545989501527e-02
-1.822000e+00 -5.299147115497439e+00 5.461063545890105e-02
-1.821000e+00 -5.302655420124836e+00 5.464556014155012e-02
-1.820000e+00 -5.306154706664297e+00 5.468023631255284e-02
-1.819000e+00 -5.309645029013096e+00 5.471466631096782e-02
-1.818000e+00 -5.313126440504075e+00 5.474885244582928e-02
-1.817000e+00 -5.316598993914009e+00 5.478279699664404e-02
-1.816000e+00 -5.320062741471927e+00 5.481650221387662e-02
-1.815000e+00 -5.323517734867179e+00 5.484997031942624e-02
-1.814000e+00 -5.326964025257372e+00 5.488320350709283e-02
-1.813000e+00 -5.330401663276228e+00 5.491620394303432e-02
-1.812000e+00 -5.333830699041178e+00 5.494897376621475e-02
-1.811000e+00 -5.337251182160835e+00 5.498151508884357e-02
-1.810000e+00 -5.340663161742478e+00 5.501382999680465e-02
-1.809000e+00 -5.344066686399228e+00 5.504592055007809e-02
-1.808000e+00 -5.347461804257100e+00 5.507778878315494e-02
-1.807000e+00 -5.350848562962061e+00 5.510943670544043e-02
-1.806000e+00 -5.354227009686807e+00 5.514086630165219e-02
-1.805000e+00 -5.357597191137531e+00 5.517207953220851e-02
-1.804000e+00 -5.360959153560482e+00 5.520307833361141e-02
-1.803000e+00 -5.364312942748469e+00 5.523386461881975e-02
-1.802000e+00 -5.367658604047219e+00 5.526444027761683e-02
-1.801000e+00 -5.370996182361613e+00 5.529480717697013e-02
-1.800000e+00 -5.374325722161887e+00 5.532496716138380e-02
-1.799000e+00 -5.377647267489560e+00 5.535492205324608e-02
-1.798000e+00 -5.380960861963424e+00 5.538467365316840e-02
-1.797000e+00 -5.384266548785413e+00 5.541422374031690e-02
-1.796000e+00 -5.387564370746191e+00 5.544357407274247e-02
-1.795000e+00 -5.390854370230903e+00 5.547272638769827e-02
-1.794000e+00 -5.394136589224624e+00 5.550168240195622e-02
-1.793000e+00 -5.397411069317806e+00 5.553044381211563e-02
-1.792000e+00 -5.400677851711608e+00 5.555901229490512e-02
-1.791000e+00 -5.403936977223180e+00 5.558738950748048e-02
-1.790000e+00 -5.407188486290762e+00 5.561557708771651e-02
-1.789000e+00 -5.410432418978794e+00 5.564357665449356e-02
-1.788000e+00 -5.413668814982860e+00 5.567138980797839e-02
-1.787000e+00 -5.416897713634638e+00 5.569901812989986e-02
-1.786000e+00 -5.420119153906704e+00 5.572646318381964e-02
-1.785000e+00 -5.423333174417222e+00 5.575372651539979e-02
-1.784000e+00 -5.426539813434667e+00 5.578080965266141e-02
-1.783000e+00 -5.429739108882375e+00 5.580771410624327e-02
-1.782000e+00 -5.432931098343078e+00 5.583444136965130e-02
-1.781000e+00 -5.436115819063303e+00 5.586099291950799e-02
-1.780000e+00 -5.439293307957761e+00 5.588737021579361e-02
-1.779000e+00 -5.442463601613636e+00 5.591357470208537e-02
-1.778000e+00 -5.445626736294821e+00 5.593960780579122e-02
-1.777000e+00 -5.448782747946035e+00 5.596547093838011e-02
-1.776000e+00 -5.451931672196952e+00 5.599116549560777e-02
-1.775000e+00 -5.455073544366236e+00 5.601669285773841e-02
-1.774000e+00 -5.458208399465440e+00 5.604205438976354e-02
-1.773000e+00 -5.461336272202991e+00 5.606725144161513e-02
-1.772000e+00 -5.464457196987960e+00 5.609228534837699e-02
-1.771000e+00 -5.467571207933859e+00 5.611715743049098e-02
-1.770000e+00 -5.470678338862414e+00 5.614186899395991e-02
-1.769000e+00 -5.473778623307151e+00 5.616642133054834e-02
-1.768000e+00 -5.476872094517057e+00 5.619081571797745e-02
-1.767000e+00 -5.479958785460124e+00 5.621505342011895e-02
-1.766000e+00 -5.483038728826810e+00 5.623913568718357e-02
-1.765000e+00 -5.486111957033537e+00 5.626306375590840e-02
-1.764000e+00 -5.489178502226088e+00 5.628683884973889e-02
-1.763000e+00 -5.492238396282883e+00 5.631046217901008e-02
-1.762000e+00 -5.495291670818374e+00 5.633393494112129e-02
-1.761000e+00 -5.498338357186198e+00 5.635725832071284e-02
-1.760000e+00 -5.501378486482424e+00 5.638043348983528e-02
-1.759000e+00 -5.504412089548710e+00 5.640346160811730e-02
-1.758000e+00 -5.507439196975390e+00 5.642634382293175e-02
-1.757000e+00 -5.510459839104538e+00 5.644908126955762e-02
-1.756000e+00 -5.513474046032989e+00 5.647167507134042e-02
-1.755000e+00 -5.516481847615346e+00 5.649412633984793e-02
-1.754000e+00 -5.519483273466815e+00 5.651643617502685e-02
-1.753000e+00 -5.522478352966233e+00 5.653860566535181e-02
-1.752000e+00 -5.525467115258811e+00 5.656063588797745e-02
-1.751000e+00 -5.528449589258980e+00 5.658252790888410e-02
-1.750000e+00 -5.531425803653205e+00 5.660428278302147e-02
-1.749000e+00 -5.534395786902617e+00 5.662590155445320e-02
-1.748000e+00 -5.537359567245829e+00 5.664738525649344e-02
-1.747000e+00 -5.540317172701515e+00 5.666873491184715e-02
-1.746000e+00 -5.543268631071073e+00 5.668995153274380e-02
-1.745000e+00 -5.546213969941207e+00 5.671103612107015e-02
-1.744000e+00 -5.549153216686452e+00 5.673198966850308e-02
-1.743000e+00 -5.552086398471735e+00 5.675281315663597e-02
-1.742000e+00 -5.555013542254881e+00 5.677350755710627e-02
-1.741000e+00 -5.557934674788981e+00 5.679407383172088e-02
-1.740000e+00 -5.560849822624931e+00 5.681451293257738e-02
-1.739000e+00 -5.563759012113727e+00 5.683482580218555e-02
-1.738000e+00 -5.566662269408909e+00 5.685501337358557e-02
-1.737000e+00 -5.569559620468817e+00 5.687507657046537e-02
-1.736000e+00 -5.572451091058974e+00 5.689501630727458e-02
-1.735000e+00 -5.575336706754308e+00 5.691483348933805e-02
-1.734000e+00 -5.578216492941406e+00 5.693452901296767e-02
-1.733000e+00 -5.581090474820773e+00 5.695410376557026e-02
-1.732000e+00 -5.583958677409000e+00 5.697355862575661e-02
-1.731000e+00 -5.586821125540900e+00 5.699289446344737e-02
-1.730000e+00 -5.589677843871717e+00 5.701211213997652e-02
-1.729000e+00 -5.592528856879209e+00 5.703121250819466e-02
-1.728000e+00 -5.595374188865748e+00 5.705019641256948e-02
-1.727000e+00 -5.598213863960365e+00 5.706906468928558e-02
-1.726000e+00 -5.601047906120850e+00 5.708781816634213e-02
-1.725000e+00 -5.603876339135733e+00 5.710645766364879e-02
-1.724000e+00 -5.606699186626326e+00 5.712498399312071e-02
